length,width,curb-weight,engine-size,horsepower,city-L/100km,highway-L/100km,wheel-base,bore,drive-wheels,price
0.907256127,0.956944444,3012,173,134,13.055555555555555,10.217391304347826,109.1,3.58,rwd,21485
0.842864008,0.905555556,2304,110,86,8.703703703703704,7.121212121212121,96.5,3.15,fwd,8845
0.755886593,0.886111111,1989,90,68,7.580645161290323,6.184210526315789,93.7,2.97,fwd,6692
0.811629025,0.948611111,2778,151,143,12.36842105263158,8.703703703703704,94.5,3.94,rwd,22018
0.907256127,0.956944444,2952,141,114,10.217391304347826,8.392857142857142,109.1,3.78,rwd,16845
0.694858241,0.8875,1713,92,58,4.795918367346939,4.351851851851852,86.6,2.91,fwd,6479
0.763094666,0.883333333,1909,90,70,6.184210526315789,5.465116279069767,94.5,3.03,fwd,6575
0.833733782,0.908333333,2455,108,94,9.4,7.580645161290323,97.0,3.62,fwd,10198
0.794329649,0.886111111,1889,97,69,7.580645161290323,6.351351351351352,94.5,3.15,fwd,5499
0.897164825,0.948611111,3130,134,142,13.055555555555555,9.791666666666666,108.0,3.61,rwd,18150
0.881787602,0.940277778,2976,171,161,11.75,9.791666666666666,102.9,3.27,rwd,16558
0.851994234,0.920833333,2507,136,110,12.36842105263158,9.4,99.8,3.19,fwd,15250
0.872176838,0.923611111,2579,132,104,10.217391304347826,7.580645161290323,96.1,3.46,fwd,9295
0.755886593,0.886111111,1967,90,68,7.580645161290323,6.184210526315789,93.7,2.97,fwd,6229
0.755886593,0.894444444,1918,92,68,6.351351351351352,5.7317073170731705,93.7,2.97,fwd,5389
0.826525709,0.908333333,2385,108,82,9.791666666666666,9.4,97.0,3.62,4wd,9233
0.873137914,0.923611111,3095,181,152,13.823529411764708,10.681818181818182,100.4,3.43,fwd,13499
0.843825084,0.923611111,2458,122,92,8.703703703703704,7.34375,102.4,3.31,fwd,11248
0.833253244,0.905555556,2324,120,97,8.703703703703704,6.911764705882353,97.2,3.33,fwd,8949
0.843825084,0.923611111,2480,110,73,7.833333333333333,7.121212121212121,102.4,3.27,fwd,10698
0.833253244,0.905555556,2302,120,97,8.703703703703704,6.911764705882353,97.2,3.33,fwd,9549
0.720807304,0.888888889,1837,79,60,6.184210526315789,5.595238095238095,93.7,2.91,fwd,5399
0.849591543,0.9,2765,164,121,11.19047619047619,8.392857142857142,101.2,3.31,rwd,21105
0.754925517,0.8875,2024,92,76,7.833333333333333,6.911764705882353,96.5,2.92,fwd,7295
0.803940413,0.886111111,2191,98,68,7.580645161290323,6.184210526315789,93.7,2.97,fwd,7609
0.820278712,0.858333333,2337,111,78,9.791666666666666,8.10344827586207,94.3,3.31,rwd,6785
0.907256127,0.933333333,2912,141,114,10.217391304347826,8.392857142857142,104.3,3.78,rwd,12940
0.817876021,0.886111111,2024,97,69,7.580645161290323,6.351351351351352,94.5,3.15,fwd,7349
0.755886593,0.886111111,2240,108,73,9.038461538461538,7.580645161290323,93.3,3.62,4wd,7603
0.801537722,0.891666667,1950,91,68,7.580645161290323,6.184210526315789,93.1,3.08,fwd,7395
0.849591543,0.925,2460,132,104,10.217391304347826,7.580645161290323,96.1,3.46,fwd,9895
0.810667948,0.888888889,2300,98,112,9.038461538461538,8.10344827586207,94.5,3.24,rwd,9538
0.812590101,0.916666667,2293,110,100,9.4,7.580645161290323,96.5,3.15,fwd,10345
